Z,长度,cy_count,人均消费_,data_point,r/s_均值,rent_area_,sell_area_,lng,lat
0,1268.784905,,,,,,,371590,3414011
0,1366.106908,,,,,,,372590,3414011
0,1008.6049,,,,,,,373590,3414011
129,1000.908458,,,,,,,374590,3414011
129,2359.269112,,,,,,,375590,3414011
53,2624.021776,,,,,,,376590,3414011
0,1702.759371,,,,,,,377590,3414011
0,2235.925222,,,,,,,378590,3414011
0,1000.013264,,,,,,,379590,3414011
41,1000.013513,,,,,,,380590,3414011
41,1443.933537,,,,,,,381590,3414011
0,1738.70147,,,,,,,382590,3414011
0,1492.727288,,,,,,,383590,3414011
0,2270.072361,,,,,,,384590,3414011
0,2299.113606,,,,,,,385590,3414011
0,1928.676566,,,,,,,386590,3414011
0,1000.111183,,,,,,,387590,3414011
0,2505.280345,,,,,,,388590,3414011
0,4620.404448,2,0,,,,,389590,3414011
0,1004.30153,,,,,,,390590,3414011
16,496.4462661,,,,,,,391590,3414011
16,1081.685006,,,,,,,392590,3414011
0,4055.797098,,,,,,,393590,3414011
0,3375.680158,,,,,,,394590,3414011
0,1032.048034,,,,,,,395590,3414011
0,0,,,,,,,396590,3414011
365,0,,,,,,,308590,3415011
365,1897.53445,,,,,,,309590,3415011
365,407.4645536,,,,,,,310590,3415011
365,1635.14683,,,,,,,311590,3415011
365,1755.053727,,,,,,,312590,3415011
302,681.8697962,,,,,,,313590,3415011
512,437.6322616,,,,,,,314590,3415011
650,1315.890828,,,,,,,315590,3415011
667,1328.716035,,,,,,,316590,3415011
526,0,,,,,,,317590,3415011
526,1204.885645,,,,,,,318590,3415011
169,539.3609109,,,,,,,319590,3415011
299,326.5991723,,,,,,,320590,3415011
305,2104.086955,,,,,,,321590,3415011
350,274.6558339,,,,,,,322590,3415011
365,0,,,,,,,323590,3415011
309,2194.084846,,,,,,,324590,3415011
365,1227.312288,,,,,,,325590,3415011
354,3033.977585,,,,,,,326590,3415011
358,1484.64466,,,,,,,327590,3415011
365,2364.155204,,,,,,,328590,3415011
286,2701.074883,,,,,,,329590,3415011
365,3.589779286,,,,,,,330590,3415011
365,1186.231252,,,,,,,331590,3415011
365,1297.131715,,,1,1023.413889,18.94736842,19391,332590,3415011
365,613.7991639,,,,,,,333590,3415011
365,0,,,,,,,334590,3415011
365,763.5635576,,,,,,,335590,3415011
365,2857.114041,,,,,,,336590,3415011
365,1487.05204,,,,,,,337590,3415011
346,3948.320064,,,,,,,338590,3415011
358,2697.679088,,,,,,,339590,3415011
236,5489.416742,,,,,,,340590,3415011
337,958.4662012,,,1,909.7915385,18.84057971,17141,341590,3415011
365,2720.152226,,,,,,,342590,3415011
353,1688.148047,,,,,,,343590,3415011
324,0,,,,,,,344590,3415011
488,1212.823079,,,,,,,345590,3415011
488,739.6713368,,,,,,,346590,3415011
488,0,,,,,,,347590,3415011
472,1331.860605,,,,,,,348590,3415011
458,2221.724488,,,,,,,349590,3415011
421,1436.53463,,,,,,,350590,3415011
488,252.3149332,,,,,,,351590,3415011
488,561.0923404,,,,,,,352590,3415011
488,2430.533192,,,,,,,353590,3415011
475,3714.609932,,,,,,,354590,3415011
458,1557.297967,,,,,,,355590,3415011
297,900.647811,,,,,,,356590,3415011
361,2450.279454,,,,,,,357590,3415011
467,271.7602823,,,1,1007.41973,22.87473021,23044.45455,358590,3415011
174,626.1831474,,,,,,,359590,3415011
305,1045.2569,,,,,,,360590,3415011
186,6411.327647,,,,,,,361590,3415011
359,6405.366845,1,0,,,,,362590,3415011
6,503.678737,,,3,495.7493333,35.71428571,17705.33333,363590,3415011
256,1250.928976,,,1,992.187,22.22222222,22048.6,364590,3415011
247,1034.506018,,,,,,,365590,3415011
